record_id,title,authors,year,venue,doi,url,citation,pub_type,peer_reviewed
rec_00197,Phase-locked arrays of surface-emitting graded-photonic-heterostructure terahertz semiconductor lasers,"Yacine Halioua, Gangyi Xu, Souad Moumdji, Lianhe Li, Jingxuan Zhu, Edmund H Linfield, A Giles Davies, Harvey E Beere, David A Ritchie, Raffaele Colombelli",2015,Optics Express,10.1364/OE.23.006915,https://doi.org/10.1364/OE.23.006915,,,
rec_00667,Photonic integrated sensing and communication system with multi-target detection capability,"Xinyi Ge, Fangzheng Zhang, S. Pan, Xiaopeng Hu, Cong Ma",2023,Photonics and Optoelectronics Meetings,10.1117/12.2672752,https://doi.org/10.1117/12.2672752,,,
rec_00682,Photonic integrated wireless communication and sensing with OFDM modulation,"Xinyi Ge, Fangzheng Zhang, Shilong Pan",2024,International Academic Conference on Optics and Photonics,10.1117/12.3021938,https://doi.org/10.1117/12.3021938,,,
rec_00482,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,"Lu Zhang, Z. Lyu, O. Ozoliņš, Xiaodan Pang, Xianbin Yu",2025,Optical Fiber Communications Conference and Exhibition,10.1364/ofc.2025.w4f.6,https://doi.org/10.1364/ofc.2025.w4f.6,,,
rec_00027,Photonic THz-ISAC Demonstration with Simultaneous 120Gbit/s Communication and 2.5mm Sensing Resolution,"Zhidong Lyu, Lu Zhang, Zuomin Yang, Hongqi Zhang, Changming Zhang, Hang Yang, Nan Li, Vjačeslavs Bobrovs, Oskars Ozolins, Xiaodan Pang, Xianbin Yu",-,,10.1049/icp.2023.2658,-,,,
rec_00205,Photonic-electronic integrated circuit-based coherent LiDAR engine,"Anton Lukashchuk, Halil Kerim Yildirim, Andrea Bancora, Grigory Lihachev, Yang Liu, Zheru Qiu, Xinru Ji, Andrey Voloshin, Sunil A Bhave, Edoardo Charbon",2024,Nature Communications,10.1038/s41467-024-47478-z,https://doi.org/10.1038/s41467-024-47478-z,,,
rec_00083,Photonics-Aided THz Integrated Sensing and Communication System Based on a Subcarrier-Chirp Inter-Embedded Waveform,"Junhao Zhang, Mingzheng Lei, Min Zhu, Qingzhi Zhou, Bingchang Hua, Yuancheng Cai, Hao Li, Jiao Zhang, Zhengyi Liang, Yang Li, Xingyu Chen, Junjie Ding, Qing Zhong, Sha Zhu, Jianjun Yu",-,,10.1109/ojcoms.2025.3545896,-,,,
rec_00086,Photonics-assisted Millimeter-Wave Multiband Integrated Sensing and Communication System Using Coherent Receiving,"Wenlin Bai, Peixuan Li, X. Zou, Ningyuan Zhong, W. Pan, Xiong Deng, Lianshan Yan",2023,IEEE Journal of Selected Topics in Quantum Electronics,10.1109/jstqe.2023.3276903,https://doi.org/10.1109/JSTQE.2023.3276903,,,
rec_00209,Physical twinning for joint encoding-decoding optimization in computational optics: a review,"Liheng Bian, Xinrui Zhan, Rong Yan, Xuyang Chang, Hua Huang, Jun Zhang",2025,Light: Science & Applications,10.1038/s41377-025-01810-4,https://doi.org/10.1038/s41377-025-01810-4,,,
rec_00350,Possibilities and Challenges for a Phased Array Antenna System in ISAC: A Hardware Perspective,"Muhammad Umar, Mehrab Ramzan, Shahanawaz Kamal, Muhammad Sajjad Ahmad, Padmanava Sen",2025,IEEE Access,10.1109/ACCESS.2025.3599680,https://doi.org/10.1109/ACCESS.2025.3599680,,,
rec_00363,Power Control and Active RIS Design for Energy-Efficient Integrated Sensing and Communications,"Mohamed Rihan, Alessio Zappone, Stefano Buzzi, Emanuele Grossi",2023,"Asilomar Conference on Signals, Systems and Computers",10.1109/IEEECONF59524.2023.10476742,https://doi.org/10.1109/IEEECONF59524.2023.10476742,,,
rec_00575,Power Minimization Beamforming Design for Active RIS-Assisted ISAC System,"Lei Yin, Ming Jin, Yaming Li, Yinhong Liu, Chaodi Chen, Huifang Zhang",2024,2024 16th International Conference on Communication Software and Networks (ICCSN),10.1109/ICCSN63464.2024.10793337,https://doi.org/10.1109/ICCSN63464.2024.10793337,,,
rec_00424,Power Minimization for ISAC System Using Beyond Diagonal Reconfigurable Intelligent Surface,"Zhaohui Guang, Yang Liu, Qingqing Wu, Wei Wang, Qingjiang Shi",2024,IEEE Transactions on Vehicular Technology,10.1109/TVT.2024.3385633,https://doi.org/10.1109/TVT.2024.3385633,,,
rec_00011,Preamble-Free Synchronization Based on Dual-chirp Waveforms for Photonic THz-ISAC,"Zhidong Lyu, Lu Zhan, Hongqi Zhang, Zuomin Yang, Hang Yang, Lianyi Li, Changming Zhang, Vjačeslav Bobrovs, Oskars Ozolins, Xiaodan Pang, Xianbin Yu, Lu Zhang",2024,,10.1109/jlt.2023.3344788,-,,,
rec_00004,Precoding for Multi-Cell ISAC: From Coordinated Beamforming to Coordinated Multipoint and Bi-Static Sensing,"Nithin Babu, Christos Masouros, Constantinos B Papadias, Yonina C Eldar",2024,,10.1109/twc.2024.3417713,-,,,
rec_00746,Programmable Metasurface for DOA Estimation from Mobile Objects and Wave Redirection,"N. Meftah, B. Ratni, M. N. El Korso, S. Burokur",2025,European Conference on Antennas and Propagation,10.23919/EuCAP63536.2025.10999863,https://doi.org/10.23919/EuCAP63536.2025.10999863,,,
rec_00119,Progress and prospects for LiDARoriented optical phased arrays based on photonic integrated circuits Check for updates,"Weihan Xu, Qiqi Yuan, Yunhong Yang, Liangjun Lu, Jianping Chen, Linjie Zhou",-,,10.1038/s44310-025-00059-4,-,,,
rec_00122,"Progress on intelligent metasurfaces for signal relay, transmitter, and processor","Chao Qian, Longwei Tian, Hongsheng Chen",-,,10.1038/s41377-024-01729-2,-,,,
rec_00414,Quantized Precoding and RIS-Assisted Modulation for Integrated Sensing and Communications Systems,"R. Sankar, S. Chepuri",2022,"IEEE International Conference on Acoustics, Speech, and Signal Processing",10.1109/ICASSP49357.2023.10096143,https://doi.org/10.1109/ICASSP49357.2023.10096143,,,
rec_00634,R-SACE: RIS-Enabled Sensing-Aided Communication Enhancement in ISAC Systems,"Xiaohui Li, Yunpei Chen, Hong Wang, Shuran Sheng",2023,"International Conference on Trust, Security and Privacy in Computing and Communications",10.1109/TrustCom60117.2023.00378,https://doi.org/10.1109/TrustCom60117.2023.00378,,,
rec_00025,Radar Integrated MIMO Communications for Multi-Hop V2V Networking,"Yajun Fan, Shijian Ga, Dongliang Dua, Xiang Cheng, Liuqing Yang,  Yajun, Shijian Gao, Dongliang Duan",-,,10.1109/lwc.2022.3224566,-,,,
rec_00008,Radar-Centric Photonic Terahertz Integrated Sensing and Communication System Based on LFM-PSK Waveform,"Zhidong Lyu, Lu Zhan, Hongqi Zhang, Zuomin Yan, Hang Yang, Nan Li, Lianyi Li, Vjačesla Bobrovs, Oskars Ozolin, Xiaodan Pang, Xianbin Yu, Lu Zhang, Zuomin Yang, Oskars Ozolins",-,,10.1109/tmtt.2023.3267546,-,,,
rec_00598,Radio Tomographic Imaging With Reconfigurable Intelligent Surfaces,"Zan Li, Amartansh Dubey, Shanpu Shen, Neel Kanth Kundu, Junhui Rao, Ross D. Murch",2024,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3433011,https://doi.org/10.1109/TWC.2024.3433011,,,
rec_00499,Rate Splitting and Beamforming Design for RIS-Assisted RSMA-Enhanced ISAC Networks,"Hongqin Ke, Jindan Xu, Wei Xu, Chenjian Ding, Derrick Wing Kwan Ng",2025,IEEE Wireless Communications Letters,10.1109/LWC.2025.3554363,https://doi.org/10.1109/LWC.2025.3554363,,,
rec_00108,Rate-Splitting Multiple Access for Transmissive Reconfigurable Intelligent Surface Transceiver Empowered ISAC Systems,"Ziwei Liu, Wen Chen, Qing-Bin Wu, Jinghong Yuan, Shanshan Zhang, Zhendong Li, Jun Li",2024,IEEE Internet of Things Journal,10.1109/jiot.2024.3397736,https://doi.org/10.1109/JIOT.2024.3397736,,,
rec_00132,Real-time programmable metasurface for terahertz multifunctional wave front engineering,"Feng Lan, Luyang Wang, Hongxin Zeng, Shixiong Liang, Tianyang Song, Wenxin Liu, Pinaki Mazumder, Ziqiang Yang, Yaxin Zhang, Daniel M Mittleman",-,,10.1038/s41377-023-01228-w,-,,,
rec_00123,Realization of high-performance optical metasurfaces over a large area: a review from a design perspective Check for updates,"Minseok Choi, Junkyeong Park, Jehyeon Shin, Harit Keawmuang, Hongyoon Kim, Jooyeong Yun, Junhwa Seong, Junsuk Rho",2024,,10.1038/s44310-024-00029-2,-,,,
rec_00211,Recent advancement in optical metasurface: fundament to application,"Naqeeb Ullah, Ruizhe Zhao, Lingling Huang",2022,Micromachines,10.3390/mi13071025,https://doi.org/10.3390/mi13071025,,,
rec_00078,Recent advances in integrated sensing and communication: a synergistic perspective,"Yufeng Zhang, Minglun Zhang",2024,"2024 4th International Conference on Neural Networks, Information and Communication (NNICE)",10.1109/nnice61279.2024.10498998,https://doi.org/10.1109/NNICE61279.2024.10498998,,,
rec_00126,"Recent advances in metasurface design and quantum optics applications with machine learning, physics-informed neural networks, and topology optimization methods","Wenye Ji, Jin Chang, He-Xiu Xu, Jian Rong Gao, Simon Gröblacher, H Paul Urbach, Aurèle J L Adam",-,,10.1038/s41377-023-01218-y,-,,,
rec_00200,Recent progress in active optical metasurfaces,"Lei Kang, Ronald P Jenkins, Douglas H Werner",2019,Advanced Optical Materials,10.1002/adom.201801813,https://doi.org/10.1002/adom.201801813,,,
rec_00550,Reconfigurable Intelligent Sensing Surface Aided Wireless Powered Communication Networks: A Sensing-Then-Reflecting Approach,"Cheng Luo, Jie Hu, Luping Xiang, Kun Yang",2023,IEEE Transactions on Communications,10.1109/TCOMM.2023.3337257,https://doi.org/10.1109/TCOMM.2023.3337257,,,
rec_00648,Reconfigurable Intelligent Surface Aided Communications: Asymptotic Analysis under Imperfect CSI,"Bayan Al-Nahhas, Qurrat-Ul-Ain Nadeem, Anas Chaaban",2021,arXiv.org,10.1109/meditcom58224.2023.10266636,-,,,
rec_00637,Reconfigurable Intelligent Surface Aided DFRC Vehicular Networks,"Junming Feng, Peichang Zhang, Lei Huang, Gong-bin Qian",2023,2023 6th World Conference on Computing and Communication Technologies (WCCCT),10.1109/WCCCT56755.2023.10052208,https://doi.org/10.1109/WCCCT56755.2023.10052208,,,
rec_00329,Reconfigurable Intelligent Surface Aided Physical-Layer Security Enhancement in Integrated Sensing and Communication Systems,"Zhe Xing, Rui Wang, Xiaojun Yuan",2024,IEEE Transactions on Vehicular Technology,10.1109/TVT.2023.3329992,https://doi.org/10.1109/TVT.2023.3329992,,,
rec_00754,"Reconfigurable Intelligent Surface assisted Integrated Communication, Sensing, and Computation Systems","Jiahua Wan, Member Ieee Hong Ren, Zhiyuan Yu, Zhenkun Zhang, Cunhua Pan Senior Member Ieee Yang Zhang, Fellow Ieee Jiangzhou Wang",-,-,10.1109/icasspw62465.2024.10626004,-,,,
rec_00456,Reconfigurable Intelligent Surface Assisted Mobile Target Tracking With Agile Phase Control,"Mengqi Bian, Yunmei Shi, Xin-Lin Huang",2024,IEEE Transactions on Vehicular Technology,10.1109/TVT.2023.3337793,https://doi.org/10.1109/TVT.2023.3337793,,,
rec_00335,Reconfigurable Intelligent Surface Assisted NOMA Empowered Integrated Sensing and Communication,"Jia-kuo Zuo, Yuanwei Liu",2022,2022 IEEE Globecom Workshops (GC Wkshps),10.1109/GCWkshps56602.2022.10008704,https://doi.org/10.1109/GCWkshps56602.2022.10008704,,,
rec_00599,"Reconfigurable Intelligent Surface Based Orbital Angular Momentum: Architecture, Opportunities, and Challenges","Zhaohui Yang, Ye Hu, Zhaoyang Zhang, Wei Xu, C. Zhong, Kai‐Kit Wong",2021,IEEE wireless communications,10.1109/MWC.001.2100223,https://doi.org/10.1109/MWC.001.2100223,,,
rec_00340,Reconfigurable Intelligent Surface for NLOS Integrated Sensing and Communications,"Yongwei Wang, Wensheng Zhang, Chen Liu, Jian Sun, Cheng-Xiang Wang",2022,International Conference on Innovative Computing and Cloud Computing,10.1109/ICCC55456.2022.9880639,https://doi.org/10.1109/ICCC55456.2022.9880639,,,
rec_00710,"Reconfigurable Intelligent Surface for Sensing, Communication, and Computation: Perspectives, Challenges, and Opportunities","Bin Li, Wancheng Xie, Zesong Fei",2024,IEEE Internet of Things Magazine,10.1109/IOTM.001.2300177,https://doi.org/10.1109/IOTM.001.2300177,,,
rec_00298,Reconfigurable Intelligent Surface-Aided Dual-Function Radar and Communication System With MU-MIMO Communication,"Yasheng Jin, Zhiyuan Yu, Ruisong Weng, Boshi Wang, Hong Ren, Cunhua Pan",2024,IEEE Wireless Communications and Networking Conference,10.1109/WCNC57260.2024.10571008,https://doi.org/10.1109/WCNC57260.2024.10571008,,,
rec_00357,Reconfigurable intelligent surface-aided wireless communications: An overview,"M. Z. Siddiqi, T. Mir",2022,Intell. Converged Networks,10.23919/icn.2022.0007,https://doi.org/10.23919/icn.2022.0007,,,
rec_00635,Reconfigurable Intelligent Surface-Assisted Multisatellite Cooperative Downlink Beamforming,"Kai Feng, Ting Zhou, Tianheng Xu, Xianfu Chen, Honglin Hu, Celimuge Wu",2024,IEEE Internet of Things Journal,10.1109/JIOT.2024.3372091,https://doi.org/10.1109/JIOT.2024.3372091,,,
rec_00738,Reconfigurable Intelligent Surface-Assisted Multiuser Tracking and Signal Detection in ISAC,"Weifeng Zhu, Junyuan Gao, Shuowen Zhang, Liang Liu",2025,-,-,-,,,
rec_00559,"Reconfigurable Intelligent Surface-Based Wireless Communication: Antenna Design, Prototyping and Experimental Results","Linglong Dai, Bichai Wang, Min Wang, Xue Yang, Jingbo Tan, Shuangkaisheng Bi, Shenheng Xu, Fan Yang, Zhi Chen, M. D. Renzo, Lajos Hanzo",2019,arXiv.org,10.1109/access.2020.2977772,-,,,
rec_00716,Reconfigurable Intelligent Surface-Enabled Integrated Sensing and Communication in 6G,"Xiaoling Hu, Chenxi Liu, Mugen Peng, Caijun Zhong",2024,Wireless networks,10.1007/978-981-99-8299-8,https://doi.org/10.1007/978-981-99-8299-8,,,
rec_00311,Reconfigurable intelligent surface-enabled integrated sensing and communication: a sensing-assisted communication framework,"Ziang Yang, Haobo Zhang, Hongliang Zhang, Lingyang Song",2023,Frontiers in Communications and Networks,10.3389/frcmn.2023.1176322,https://doi.org/10.3389/frcmn.2023.1176322,,,
rec_00715,Reconfigurable Intelligent Surfaces Enabled by Silicon Chips for Secure and Robust mmWave and THz Wireless Communication,"K. Sengupta, S. Venkatesh, H. Saeidi, Xuyang Lu",2022,European Solid-State Circuits Conference,10.1109/ESSCIRC55480.2022.9911320,https://doi.org/10.1109/ESSCIRC55480.2022.9911320,,,
rec_00676,"Reconfigurable Intelligent Surfaces for 6G Wireless Communications: Principles, Selected use Cases, and Challenges",Paweł Sroka,2023,International Conference on Signal Processing and Communication Systems,10.1109/icspcs58109.2023.10261137,https://doi.org/10.1109/icspcs58109.2023.10261137,,,
rec_00709,Reconfigurable Intelligent Surfaces for Advanced Wireless Networks and Wave Computing,"Ali Ali, S. Danesh, Zahra Rahimian Omam, Mohsen Khalily",2024,Asia-Pacific Conference on Applied Electromagnetics,10.1109/APACE62360.2024.10877313,https://doi.org/10.1109/APACE62360.2024.10877313,,,
rec_00525,Reconfigurable Intelligent Surfaces for Beamforming in Upcoming Wireless Communications,"R. Sohal, Madhav Madhav, Chandan Sharma, Manasvi Tikoo, Aryan Dhanotra",2024,Procedure International Journal of Science and Technology,10.62796/pijst.2024v1i501,https://doi.org/10.62796/pijst.2024v1i501,,,
rec_00362,"Reconfigurable Intelligent Surfaces: Design, Implementation, and Practical Demonstration","Yijun Feng, Q. Hu, Kai Qu, Weixu Yang, Yilin Zheng, Ke Chen",2023,Electromagnetic Science,10.23919/emsci.2022.0011,https://doi.org/10.23919/emsci.2022.0011,,,
rec_00284,Reconfigurable Intelligent Surfaces: Principles and Opportunities,"Yuanwei Liu, Xiao Liu, Xidong Mu, Tianwei Hou, Jiaqi Xu, M. Di Renzo, N. Al-Dhahir",2020,IEEE Communications Surveys and Tutorials,10.1109/COMST.2021.3077737,https://doi.org/10.1109/COMST.2021.3077737,,,
rec_00201,Reconfigurable metasurfaces towards commercial success,"Tian Gu, Hyun Jung Kim, Clara Rivero-Baleine, Juejun Hu",2023,Nature Photonics,10.1038/s41566-022-01099-4,https://doi.org/10.1038/s41566-022-01099-4,,,
rec_00178,Resilient adaptive polarized optical transmission for mitigating atmospheric turbulence in free space optics communication,"M H Anit Monisha, M R Geetha",2025,,10.1016/j.ijleo.2025.172262,-,,,
rec_00375,Resource Allocation for IRS Assisted mmWave Integrated Sensing and Communication Systems,"Zhengyu Zhu, Zheng Li, Zheng Chu, Gangcan Sun, Wanming Hao, Pei Xiao, Inkyu Lee",2022,ICC 2022 - IEEE International Conference on Communications,10.1109/ICC45855.2022.9838546,https://doi.org/10.1109/ICC45855.2022.9838546,,,
rec_00651,Resource Optimization in Active-STAR-RIS-Aided THz ISAC Systems With DDA Modulation: A Machine-Learning Approach,"Sravani Kurma, Keshav Singh, Shahid Mumtaz, Theodoros A. Tsiftsis, Chih-Peng Li",2024,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3428493,https://doi.org/10.1109/TWC.2024.3428493,,,
rec_00230,Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments,"Haochuan Wang, Binbin Zhu, Zhihong Zeng, Sihua Shao, Chen Chen, Min Liu",-,,10.1109/acp/ipoc63121.2024.10809915,-,,,
rec_00489,Review of UAV based on Reconfigurable Intelligent Surface and ISAC,"Xiangxin Liu, Jianxin Guo",2025,Scientific Journal of Intelligent Systems Research,10.54691/75483137,https://doi.org/10.54691/75483137,,,
rec_00180,"Review on UAV-based FSO links: recent advances, challenges, and performance metrics","Aanchal Gupta, Divya Dhawan, Neena Gupta",-,,10.1117/1.oe.63.4.041204,-,,,
rec_00656,RHS-UAV-Based ISAC System With RIS Enhancing,"Shunwai Zhang, Xu Ding",2025,IEEE Communications Letters,10.1109/LCOMM.2025.3569544,https://doi.org/10.1109/LCOMM.2025.3569544,,,
rec_00620,RiLoCo: An ISAC-oriented AI Solution to Build RIS-empowered Networks,"Guillermo Encinas-Lago, Vincenzo Sciancalepore, Henk Wymeersch, Marco Di Renzo, Xavier Pérez Costa",2025,IEEE Transactions on Wireless Communications,10.48550/arXiv.2503.05480,https://doi.org/10.48550/arXiv.2503.05480,,,
rec_00464,RIS with Nanomaterials for FutureG Applications,"G. Al-Duhni, Tatiana Valera, M. Pulugurtha, J. Volakis, S. Venkatakrishnan",2023,Nanotechnology Materials and Devices Conference,10.1109/NMDC57951.2023.10343722,https://doi.org/10.1109/NMDC57951.2023.10343722,,,
rec_00345,RIS-Aided Integrated Sensing and Communication Systems under Dual-polarized Channels,"Dongnan Xia, Cunhua Pan, Hong Ren, Zhiyuan Yu, Yasheng Jin, Jiangzhou Wang",2025,arXiv.org,10.48550/arXiv.2501.00909,https://doi.org/10.48550/arXiv.2501.00909,,,
rec_00271,RIS-Aided Integrated Sensing and Communication Systems: STAR-RIS Versus Passive RIS?,"Prajwalita Saikia, Anand Jee, Keshav Singh, Cunhua Pan, Wan-Jen Huang, Theodoros A. Tsiftsis",2024,IEEE Open Journal of the Communications Society,10.1109/OJCOMS.2024.3515933,https://doi.org/10.1109/OJCOMS.2024.3515933,,,
rec_00483,RIS-Aided Integrated Sensing and Communication Waveform Design With Tunable PAPR,"Jinlong Wu, Lixin Li, Wensheng Lin, Wei Liang, Decan Zhao, Zhu Han",2025,-,10.1109/vtc2025-spring65109.2025.11174389,-,,,
rec_00272,RIS-Aided Integrated Sensing and Communication: Joint Beamforming and Reflection Design,"Honghao Luo, Rang Liu, Ming Li, Qian Liu",2023,IEEE Transactions on Vehicular Technology,10.1109/TVT.2023.3248657,https://doi.org/10.1109/TVT.2023.3248657,,,
rec_00695,RIS-Aided ISAC Waveform Design via Parallel Product Complex Circle Manifold,"Kai Zhong, Dong-Chun An, Ruoyu Jiang, Jinfeng Hu, Cunhua Pan",2023,Global Communications Conference,10.1109/GLOBECOM54140.2023.10437484,https://doi.org/10.1109/GLOBECOM54140.2023.10437484,,,
rec_00606,RIS-Aided Non-Cooperative Multi-Base Station Multi-User ISAC Scheme,"Yihong Liu, Dongqi Luo, Feifei Gao",2025,IEEE Transactions on Vehicular Technology,10.1109/TVT.2025.3529673,https://doi.org/10.1109/TVT.2025.3529673,,,
rec_00415,RIS-Aided OTFS: A Novel ISAC Scheme for Achieving Real-Time Communication and Sensing,"Zhongjie Li, W. Yuan, Zexuan Jing, Junsheng Mu, N. Wu, Zhiyun Lin",2023,ISACom@MobiSys,10.1145/3597065.3597448,https://doi.org/10.1145/3597065.3597448,,,
rec_00313,RIS-Assisted Cooperative Multicell ISAC Systems: A Multi-User and Multi-Target Case,"Xiaoyu Yang, Zhiqing Wei, Yuanwei Liu, Huici Wu, Zhiyong Feng",2024,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3353336,https://doi.org/10.1109/TWC.2024.3353336,,,
rec_00626,RIS-Assisted Coverage Enhancement in mmWave Integrated Sensing and Communication Networks,"Xu Gan, Chongwen Huang, Zhaohui Yang, Xiaoming Chen, Faouzi Bader, Zhaoyang Zhang, Chau Yuen, Yong Liang Guan, Mérouane Debbah",2024,2024 International Conference on Ubiquitous Communication (Ucom),10.1109/Ucom62433.2024.10695883,https://doi.org/10.1109/Ucom62433.2024.10695883,,,
